codigoPedido,codigoCliente,nitRestaurante,cantidad,hora;
"80608,""Universidad Interamericana de Puerto Rico, Bayamón"",Aoyama Gakuin University,7293462824,krobeson2v";
67301,Ecole Supérieure de Commerce de Reims,Texas A&M University - Commerce,6111080725,rgoulbourn2w;
"3510,Fachhochschule Mainz,""Moldova State University of Medicine and Pharmacy """"N. Testemitsanu"""""",6081220850,nbrabant2x";
72701,Universitas Kristen Duta Wacana,International University School of Medicine (IUSOM),7862715551,ssavary2y;
85404,Technical University of Koszalin,Buddhist Acamedy of China,1030336369,vlitchfield2z;
58281,Universidad Autónoma del Noreste,Dr. Bhim Rao Abdekar University,9669477530,keccersley30;
52424,Instituto Superior de Transportes e Comunicações,Université de Jendouba,2393611738,bdooly31;
"64510,""Universidad Nacional Experimental Sur del Lago """"Jesús Maria Semprum"""""",Technical University of Gabrovo,9580275815,sclaeskens32";
52523,Adamawa State University,University of Nicosia,5091757120,apilbeam33;
2682,Universidad Privada Sergio Bernales,Technological Education Institute of Mesologgi,3446650377,iannies34;
64681,Xi'an Jiaotong-Liverpool University,University of Northern Washington,1513840940,hbowes35;
E9272,Gretsa Universtiy,Universidade de Caxias do Sul,6900942806,vchiles36;
V0752,Crescent University,Université de la Polynésie Française,2777186251,pjimson37;
99529,Omsk State Medicical Academy,University of Lucknow,4961566519,rjaher38;
71915,Odessa National Academy of Food Technologies,Nagpur University,6793363778,gbrizland39;
"86342,""California State University, Chico"",University of Seychelles - American Institute of Medicine,7021853068,amoller3a";
"9552,""Sofia University """"St. Kliment Ohridski"""""",""University of New Brunswick, Saint John"",1364222175,jtruckell3b";
E9040,Agricultural University of Lublin,University of North America,6967662694,smurrison3c;
8930,MacEwan University,Southampton Solent University,0808531980,gferraraccio3d;
38650,Tashkent Institute of Irrigation and Melioration,Husson College,3400405302,bchastang3e;
24951,Georgian Technical University,St. Francis Medical Center College of Nursing,8584828761,adiggin3f;
32732,Metropolitan University,West Virginia University,1961161230,mgolley3g;
36620,Universidad Nacional del Altiplano,International University of Management,7844205741,bgethin3h;
1725,Universidad de Cuautitlan Izcalli,Changsha Railway University,7429605508,castie3i;
E8691,Takhatmal Shrivallabh Homoeopathic Medical College,Gift University,7912594736,skordova3j;
75525,Bangabandhu Sheikh Mujibur Rahman Medical University,Wheaton College Massachusetts,4390767240,klevy3k;
75832,Arkansas Tech University,Medizinische Universität Graz,9404752630,eduer3l;
80006,Gallaudet University,Aoyama Gakuin University,1882459709,fbarwood3m;
01521,Brescia College,King's University College,3105461019,bzuann3n;
8471,Universidad Hispanoamericana,University of North Texas,2345816104,wspincks3o;
6388,Mount Aloysius College,Shahed University,2655323475,mcockshoot3p;
37200,Adler School of Professional Psychology,Escuela Politécnica del Ejercito,7555293323,avlasenko3q;
1951,Academy of Economic Studies of Moldova,Ural State University of Economics,3005555623,akielt3r;
7421,Wageningen University,Universiti Teknologi Mara,7074021253,jhurworth3s;
0310,Galway Mayo Institute of Technology,Universitas Muhammadiyah Sumatra Utara,7143240125,dgrainge3t;
76406,Dalian Polytechnic University,Virginia College,4930606802,mtoping3u;
E0076,Liverpool Hope University College,Instituts Supérieurs de Formation des Maîtres,2940561516,nwingate3v;
04081,Kagoshima University,University of Virginia,5354333997,bewbanks3w;
44032,Tottori University,Okinawa University,0688148352,ldyton3x;
36471,Utah State University,Samara State Academy for Railway Transportation,4761635665,ssykora3y;
8399,European Business School Schloß Reichartshausen,Aston University,7728788132,mscone3z;
99568,Ural Academy of Public Administration,Finance Academy,2133440453,hmccaw40;
85176,Harbin Normal University,Nazarene Bible College,2939011060,egegay41;
74101,Université de Marne la Vallée,Smolensk State Medical Academy,6758537412,noffa42;
"V241,Meikai University,""Kyrgyz State University of Construction, Transportation and Architecture"",6241965344,amacmillan43";
67422,School of the Museum of Fine Arts,Guangdong Polytechnic Normal University,1793533725,aprobbin44;
32711,University of Marketing and Distribution Sciences,Laikipia University,3283261040,kgalliver45;
34550,Technological Education Institute of Kalamata,Nagasaki University,1756673616,cmacgiollapheadair46;
67904,China Foreign Affairs University,Western Kazakhstan Agricultural University,9225754345,wcotes47;
81344,Brjansk State Technical University,Fahad Bin Sultan University,3344804596,bwitterick48;
"E9933,""University of California, Merced"",Universidad Mariana,4974034820,lkobierski49";
3453,Georgetown University,Auburn University at Montgomery,2760548864,mbradd4a;
"82019,""Islamic Azad University, Mahshar"",Universidad Católica de Honduras,1618183222,fcolley4b";
E9962,Magadh University,Universiti Teknologi Malaysia,2704536929,skirsch4c;
99960,Indiana University-Purdue University at Fort Wayne,University of Tennessee - Memphis,8944739455,nrembrant4d;
9548,Universiti Teknologi Mara,University of Lecce,8278548846,mbrouncker4e;
3525,East Carolina University,Universidad Católica Andres Bello,3080938097,bduling4f;
92709,Katholische Fachhochschule Nordrhein-Westfalen,Al Madinah International University,8331014634,btiron4g;
37455,Universidad Autonoma España de Durango,International Institute for Geo - Information Science and Earth Observation,5062515300,abarlow4h;
65611,Universität Regensburg,Centro de Enseñanza Técnica Industrial,0156077051,obarizeret4i;
"80481,""Institute of Teachers Education, Ipoh"",Sankei University,8338574619,emcnickle4j";
0949,İstanbul Şehir University,Université Hassan Ier - Settat,0319129667,rbadby4k;
80060,Iqra University,Lewis University,7249695371,acanaan4l;
36019,Universidad de Huelva,Zhongnan University of Technology,0335514138,ojolin4m;
"3430,""Arizona State University, Tempe Campus"",University of International Business,8533349491,kkampshell4n";
67180,East China Jiao Tong University,University of Surrey,1066045267,ahessing4o;
E8231,Music Academy in Lodz,Kogakuin University,8027779839,kmcdonnell4p;
2556,Pedagogical University of Kielce,Universidade do Oeste de Santa Catarina,3323575687,bdurrans4q;
63442,Newschool of Architecture and Design,Avinashilingam Institute for Home Science and Higher Education for Women,7755393151,ctomblings4r;
"86803,Kermanshah University of Technology,""Royal Free Hospital School of Medicine, University of London"",9655821234,mmayte4s";
83114,Universidade da Madeira,Tianjin University of Commerce,3629290779,gselborne4t;
37805,Senzoku Gakuen College,Universidad del Mar,3060577587,wzupa4u;
8245,Cologne Business School,Universidad Francisco Gavidia,3526141827,achazette4v;
8300,Tougaloo College,Academy of Economics in Cracow,7951083739,edalgetty4w;
52342,Alpha Omega University,Kyorin University,4242101171,jirving4x;
"2150,""Universidad Pedagógica """"José Martí"""", Camagüey"",Universitas Merdeka Madiun,3627733193,cgheeraert4y";
64624,Technical University of Wroclaw,Western State College,1453365974,dmcilory4z;
9067,Kingston College,Bridgewater State College,9892907353,rkempson50;
V553,University of Central Missouri,Universidad Pontificia Bolivariana,7650878635,gkleinstein51;
66041,Odense University,Slobomir P Univerzitet,5924779726,nlamberteschi52;
7630,Saga Medical School,University of Sharjah,9449634939,feglinton53;
36107,Macau Polytechnic Institute,Clarkson University,5299877838,oburne54;
22802,Universitas Katolik Widya Manadala,Universidad de San Pablo CEU,8517864336,pcoppledike55;
42789,Hokusei Gakuen University,Beijing International Studies University,7273748013,amayes56;
9766,Universitas Simalungun,University of Bahrain,5420097370,gillidge57;
2224,Massachusetts Maritime Academy,Princeton University,7742833484,adunkirk58;
67454,Banaras Hindu University,YPC-iTWEB College,8047720708,gfeatherstone59;
20116,University of Primorska,Seoul Women's University,4247090143,bmillan5a;
"64960,""NGO Vladikavkaz Institute of Economics, Management, and Law"",University of Zenica,7568783782,cjoysey5b";
37611,Fomic Polytechnic,Gustav-Siewerth-Akademie,7112023718,rseddon5c;
71690,University of Wassit,Logan College of Chiropractic,4329975327,thuntley5d;
9129,Universiti Industri Selangor,Osaka University of Pharmaceutical Sciences,3160205134,abowhey5e;
E895,Universidad de Cantabria,Russian Academy of Theatre Arts,0706660668,tcorkitt5f;
E8018,Abubakar Tafawa Balewa University,University of Puget Sound,7937992603,pprimak5g;
E8410,Adam Mickiewicz University of Poznan,Belmont University,1407841815,aplowell5h;
0785,Athenaeum of Ohio,Gulbarga University,4850451608,dnorquoy5i;
E8458,Hokusei Gakuen University,French Institute of Management,8698739962,egrabban5j;
"8027,Tashkent Medical Academy,""Hochschule Wismar, Fachhochschule für Technik, Wirtschaft und Gestaltung"",1413671276,nauten5k";
75619,Universidad Central de Bayamón,Centro Universitario de Occidente,2017444677,lyakunkin5l;
38658,King Saud bin Abdulaziz University for Health Sciences ,Ahsanullah University of Science & Technology,1864764740,pdoy5m;
V4459,Taipei Municipal Teachers College,Setsunan University,7848016552,drainbow5n;
V5876,The Queen's University Belfast,Teikyo Heisei University,7357968898,dlugden5o;
6245,Touro University,ITT Technical Institute Maitland,9311110493,lbiswell5p;
V9010,Walailak University,Hebrew College,1120730562,csmetoun5q;
8026,Ashton College,Universidad del Azuay,6598649161,msandbach5r;
78639,American University,Hebrew University of Jerusalem,4493367164,gcudbertson5s;
71511,Sylhet International University,Memphis College of Art,2900135370,tdutnell5t;
V518,Universidade Estadual de Feira de Santana,Central Ostrobothnia University of Applied Sciences,5220664069,fnovic5u;
94424,Houdegbe North American University Benin,Far Eastern State University,9610526462,jathey5v;
60001,Kafkas University,Wuhan University of Technology,3035928797,mmackelworth5w;
7956,Université de Lomé,Koriyama Women's University and College,6915133003,fwilkowski5x;
09189,Université de Cergy-Pontoise,Indian Board of Alternative Medicine,7404926572,zallman5y;
30492,Université Chrétienne Bilingue du Congo,Ittihad University,8122697755,cgooders5z;
01765,Mount Carmel College of Nursing,Shandong University of Science and Technology,5925287401,bshawyer60;
05322,Saratov State Academy of Law,Université Française d'Égypte,3573320880,ggallety61;
80629,University of Berne,Kabul Education University,5460046610,ylabet62;
84849,West Texas A&M University,Faculdade Italo Brasileira,1842243012,btorres63;
"94153,Bethlehem University,""National Institute of Technology, Durgapur"",6374637461,clortzing64";
83654,Bournemouth University,Mukogawa Women's University,0419647775,hnorcross65;
"67191,""Universidad de Puerto Rico, Mayaguez"",Pennsylvania State University - Milton S.Hershey Medical Center,9974968984,gmattimoe66";
52567,American World University,Université de Thiès,4906526497,blimmer67;
37763,Fatih University,Henan Univeristy,6647575715,dbeernt68;
37733,Dnepropetrovsk National University of Railway Transport,Pontificia Università S. Tommaso,5308548072,kcroizier69;
2388,Kansas City Art Institute,Niigata Sangyo University,2248227205,hscaice6a;
81109,University of Sudbury,Hyogo College of Medicine,1984293974,dlowry6b;
90242,Universidad Tecnológica del Sur,Millennia Atlantic University,4830196688,hbernardinelli6c;
47402,Dominican University,Universidad Nacional Experimental de la Fuerza Armada,3639546822,jebunoluwa6d;
1726,University of Northern Iowa,Pennsylvania State University - Abington,1317528956,mraft6e;
36511,University of Advancing Technology (UAT),West Virginia Wesleyan College,7161381681,shourihane6f;
V8904,Wollo University,College of St. Elizabeth,6028337870,jkennifick6g;
0760,Universidad Autónoma del Noreste,Fachhochschule Nordhausen,4259044362,ogosnell6h;
67644,Saito College,Universidad Popular de Nicaragua (UPONIC),7256923708,mguiden6i;
65452,Madurai Kamaraj University,Universidad Tecnológica de México,9919921270,kblanpein6j;
36043,SMK Fomra Institute of Technology,University of St. Francis,5227674094,lstarzaker6k;
V8553,Curtin University of Technology,Shenyang University,9516690807,ggledstane6l;
86359,Universidad de Palermo,Morningside College,1667126377,tbase6m;
V4364,TaiChung Healthcare and Management University,Liaoning Normal University,6124706083,lhebbard6n;
64930,Jumeira University,Isra University,8215392474,estannett6o;
67663,Universidad Tecnologica de la Mixteca,Kabul Medical University,8776358577,dbellchamber6p;
V074,Puget Sound Christian College,South East European University,0892350822,tcolten6q;
20000,Golestan University of Medical Sciences,Atish Dipankar University,1344211909,tstickels6r;
38650,Wuyi University,Institut des hautes études économiques et commerciales,4429541396,krabl6s;
85101,Technische Universität Graz,National Hsin-Chu Teachers College,2191349161,epleasaunce6t;
94312,Iasar University,UNESCO-IHE Institute for Water Education,5305024536,csatyford6u;
20005,Jigjiga University,Southwestern Adventist University,1763408175,ehare6v;
"1707,""National American University, Albuquerque"",Centro Universitário Monte Serrat,5652043326,ckilian6w";
66331,Universitas Tunas Pembangunan,University of Indianapolis,1519937970,uliddle6x;
E9172,Semera University,Ecole Nationale Supérieure de Chimie et de Physique de Bordeaux,1618739891,bsiggers6y;
9174,Gomal University,Oakwood College,5734337455,ddurston6z;
0600,Kerman Graduate University of Technology,Siberian State Medical University,8394279511,csucre70;
E9909,Yaba College of Technology,Universidad de Manizales,7179389927,mbroschke71;
7916,Universidad Privada de Santa Cruz de la Sierra,University of Alaska - Anchorage,0686451996,cgabbett72;
"7049,""Islamic Azad University, Janah"",State University of New York at Buffalo,5665295388,ltheze73";
"4239,Louisiana State University in Shreveport,""Polytechnic University, Westchester Graduate Center"",5861395586,hrolland74";
3359,University of Primorska,Universidad José Cecilio del Valle,3258357137,ashipsey75;
E8931,Seattle University,Ryukoku University,3092100573,ggravenor76;
29522,Grace University,York University,4560702292,dtybalt77;
"1908,"" Akanu Ibiam Federal Polytechnic, Unwana"",Universidade Moderna de Lisboa,0097183342,twitchell78";
36424,Pratt Institute,Universidad Finis Terrae,3166211896,gbeardshall79;
75444,North Central College,Gediz University,2516987005,tbrittlebank7a;
0539,Lenoir-Rhyne College,Ecole Catholique d'Arts & Metiers,2675713325,jhughlin7b;
65533,Bermuda College,National Dong Hwa University,0924628464,kdebruijn7c;
77984,Fielding Institute,Centre Universitaire de Tebessa,5975805678,sbadby7d;
V499,Toyama University of International Studies,Mugla University,3369761181,nmabbs7e;
7226,Tartu Health Care College,School of Banking and Management in Cracow,7669635924,achallinor7f;
33385,Universidad Regional del Sureste,Brussels Management School (ICHEC),4841117016,ogilluley7g;
9169,Qazvin University of Medical Sciences,St. Mary's University of Minnesota,9688973300,wjaffa7h;
04185,Mukogawa Women's University,Universitas Muhammadiyah Sumatra Utara,2990254676,pnorrington7i;
6851,Singapore Institute of Management (SIM),St. Petersburg State Theatre Arts Academy,1277392145,cwhatham7j;
56962,Williams College,Cosmopolitan University,1262522145,oskellorne7k;
82010,Fachhochschule Würzburg - Schweinfurt,Gandhi Institute of Technology and Managment,3239148048,hpetit7l;
6140,School of Education Pisa,University of Dar Es Salaam,4533277608,nhilldrup7m;
3202,Ecole Supérieure des Sciences Commerciales d'Angers,Southwest University of Science and Technology,9232142120,bgilpin7n;
V494,National Technological University,University of Malta,5919762527,alambswood7o;
24291,Basilicata University Potenza,Nazarene Bible College,3609419067,fgooderidge7p;
71989,Hofstra University,Nanjing University of Science and Technology,6171915904,cgedling7q;
3501,Okinawa Prefectural University of Fine Arts,Colegio de Estudios Superiores de Administración (CESA),7496553158,fmaccomiskey7r;
66380,Mahatma Jyotiba Phule Rohilkhand University Bareilly ,Colorado College,3550198507,bschwandermann7s;
78449,University of Basel,Brigham Young University,6795117006,cbidgood7t;
E9329,University of Wollongong,Universidad de Ciencias y Humanidades,1580456960,htynewell7u;
2354,Fachhochschule Stralsund,University of Food Technology,0237050366,blewerenz7v;
28269,University of Wamia and Masuria in Olsztyn,Creighton University,4669347187,pszapiro7w;
"01563,Shomal University,""Institute of Teachers Education, Dato' Razali Ismail "",0359441947,mpaulon7x";
E9886,Shaheed Beheshti University of Medical Sciences,Hebrew College,5046052172,aloosmore7y;
29646,Pennsylvania State University at Erie - Behrend College,Northwest University Xi'an,9982625462,ffone7z;
37906,Shanghai Medical University,Detroit College of Business,7999303143,aallston80;
80054,Sadat Institute of Higher Education,Hirosaki University,4527703501,lrispin81;
79518,Malayer University,Ulyanovsk State Agricultural Academy,2917173823,bspoole82;
94425,University of New Brunswick,Politeknik Negeri Malang,2525333942,omillimoe83;
20956,Yaba College of Technology,University of Southern Mindanao,7508539605,abristo84;
7102,Selkirk College,Providence University,7026615335,brubinowicz85;
1713,University of Athens,King Khaled University,3957198208,cbarnish86;
E8506,Jewish University in Moscow,Binary University College of Managemant & Entrepreneurship,2695857624,hpedrielli87;
3534,The Art Institutes International San Francisco,Charles Darwin University,6907436760,klagadu88;
80714,Universität Liechtenstein,Universitas Muhammadiyah Jember,6691124251,cjeffcock89;
"01305,Fitchburg State College,""University for Information Science and Technology  """"St. Paul The Apostle"""" "",1208662120,vmaiden8a";
"9180,University of Missouri - Kansas City,""Islamic Azad University, Lahijan"",3445545758,fomara8b";
55842,Estonian University of Life Sciences,Metropolitan University,9981342653,ashucksmith8c;
V705,Excelsior College,University of Science & Technology Bannu,3537587333,ctill8d;
00847,Moravian College,Kandahar University,9551931165,tvasyutochkin8e;
1841,Ming Chuan University,Northeast Agricultural University,2928582495,jmiall8f;
72766,Université de Sétif,Lourdes College,9252583610,mnoel8g;
E8230,Technical University of Iasi,Universidade Bandeirante de São Paulo,1640044280,breihm8h;
0569,National University of Defense Technology,University of Regina Carmeli,2594448834,cbittlestone8i;
07989,Universitas Mercu Buana,Bugema University,8669289636,alivard8j;
8441,Instituto Superior Bissaya Barreto,Husson College,0107663724,rpates8k;
75679,Osaka Dental University,Kirchliche Hochschule Wuppertal,6669360940,ltadd8l;
30282,International University College of Nursing (IUCN),St. Francis Medical Center College of Nursing,6856429029,bcardiff8m;
29593,Trinity University School of Medicine,University of North Carolina at Chapel Hill,3400324752,rmullarkey8n;
20162,St. Petersburg State Mountain Institut,Beder University,5380263364,sconklin8o;
"31200,University of Mumbai,""University Institute of Teacher Training """"Suor Orsola Benincasa"""""",7492021089,gashpole8p";
2138,Technikum Wien,Deccan College Postgraduate and Research Institute,9166240069,aibbison8q;
E8632,National University of Science and Technology Bulawayo,Vinayaka Mission's Research Foundation-Deemed University,4800653665,eluetkemeyer8r;
1600,Al-Manar University,Ecole Nationale Supérieure de l'Aéronautique et de l'Espace,1111263841,ebanks8s;
9350,Sri Venkateswara University,Instituto de Enseñanza Superior del Ejército,6096473822,djuliano8t;
V311,University of Cassino,Ecole National d'Agriculture de Meknes,4547273200,rbollard8u;
85226,Belarussian State University,Sunrise University Alwar,1135267332,hrickword8v;
27540,Palestine Technical College-Dier Elbalah,University of Dallas,5435583462,amildner8w;
7746,University of Michigan - Ann Arbor,International University College of Nursing (IUCN),0376646365,emitro8x;
67601,Westbrook University ,Astrahan State Technical University,8292669051,kerett8y;
E8550,North Dakota State University,Takestan Islamic Azad University,2728746176,nsives8z;
20287,Ho Chi Minh City University of Economics,Sotheby´s Institute of Art - London,4914998734,liozefovich90;
E8601,Universidad del Tepeyac,Ocean University of China,8124449937,eavon91;
40200,Universidad Tecnológica de Honduras,East Carolina University,0585181314,rmunnis92;
31381,Abia State University,Fachhochschule Nordhausen,4322852920,wvanhove93;
80062,Monterey Institute of International Studies,Université de Biskra,4022327308,awolstenholme94;
9228,Pacific International College,Universidad Americana,9378286178,aespasa95;
"E0131,Aalborg University,""Khalifa University of Science, Technology and Research"",3955745732,gmossdale96";
1574,Instituto de Enseñanza Superior del Ejército,Jalalabad State University Kyrgyzstan,2200984855,wbracer97;
V733,Institute of Paper Science and Technology,Shimonoseki City University,3056573564,tspeddin98;
8941,Universidad Eugenio Maria de Hostos,State University of New York Upstate Medical University ,2181512876,dpannaman99;
V273,Perak Islamic College,Universidad de Alicante,5772473271,jlunk9a;
V8701,Columbus College of Art and Design,Gondar University,2369459085,kcain9b;
5644,PSG College of Technology,Universidad Interamericana de Puerto Rico,1802173471,agasnell9c;
73039,Acharya Nagarjuna University,Shenyang Institute of Chemical Technology,9966122036,rdonaghie9d;
2102,Technological University (Pyay),Maria Grzegorzewska College for Special Education,5975803748,gcottem9e;
"7176,Clarion University,""University of the East, Ramon Magsaysay Memorial Medical Center"",8632030477,rmaryet9f";
36846,Deen Dayal Upadhyay Gorakhpur University,Lucerne University of Applied Sciences and Arts ,4483181831,dsallery9g;
